LR,Hidden_Layer,Batch_Size,MAE,RMSE,r,Model
0.001,128.0,4.0,1.13,1.36,0.76,SimpleGCN
0.001,128.0,8.0,1.31,1.56,0.75,SimpleGCN
0.001,128.0,16.0,1.06,1.35,0.74,SimpleGCN
0.001,128.0,32.0,1.14,1.38,0.72,SimpleGCN
0.01,16.0,4.0,1.12,1.35,0.76,SimpleGAT
0.01,16.0,8.0,1.04,1.26,0.77,SimpleGAT
0.01,16.0,16.0,1.08,1.29,0.76,SimpleGAT
0.01,16.0,32.0,1.03,1.34,0.8,SimpleGAT
0.01,32.0,4.0,0.9,1.18,0.81,SimpleGAT
0.01,32.0,8.0,1.14,1.49,0.79,SimpleGAT
0.01,32.0,16.0,1.0,1.21,0.79,SimpleGAT
0.01,32.0,32.0,1.07,1.29,0.77,SimpleGAT
0.01,64.0,4.0,1.02,1.33,0.76,SimpleGAT
0.01,64.0,8.0,1.32,1.67,0.77,SimpleGAT
0.01,64.0,16.0,1.12,1.45,0.79,SimpleGAT
0.01,64.0,32.0,0.95,1.2,0.79,SimpleGAT
0.01,128.0,4.0,1.64,2.02,0.62,SimpleGAT
0.01,128.0,8.0,1.13,1.45,0.74,SimpleGAT
0.01,128.0,16.0,1.31,1.57,0.72,SimpleGAT
0.01,128.0,32.0,0.98,1.22,0.78,SimpleGAT
0.005,16.0,4.0,0.93,1.19,0.8,SimpleGAT
0.005,16.0,8.0,0.92,1.17,0.81,SimpleGAT
0.005,16.0,16.0,1.07,1.29,0.78,SimpleGAT
0.005,16.0,32.0,1.13,1.36,0.74,SimpleGAT
0.005,32.0,4.0,1.0,1.27,0.78,SimpleGAT
0.005,32.0,8.0,1.12,1.35,0.79,SimpleGAT
0.005,32.0,16.0,1.07,1.28,0.8,SimpleGAT
0.005,32.0,32.0,1.03,1.25,0.77,SimpleGAT
0.005,64.0,4.0,0.97,1.19,0.79,SimpleGAT
0.005,64.0,8.0,1.04,1.37,0.78,SimpleGAT
0.005,64.0,16.0,1.01,1.22,0.8,SimpleGAT
0.005,64.0,32.0,1.05,1.26,0.77,SimpleGAT
0.005,128.0,4.0,0.97,1.24,0.78,SimpleGAT
0.005,128.0,8.0,0.97,1.24,0.78,SimpleGAT
0.005,128.0,16.0,0.94,1.19,0.8,SimpleGAT
0.005,128.0,32.0,1.05,1.26,0.8,SimpleGAT
0.001,16.0,4.0,1.07,1.33,0.74,SimpleGAT
0.001,16.0,8.0,1.21,1.5,0.66,SimpleGAT
0.001,16.0,16.0,1.34,1.62,0.63,SimpleGAT
0.001,16.0,32.0,1.3,1.59,0.59,SimpleGAT
0.001,32.0,4.0,1.04,1.28,0.76,SimpleGAT
0.001,32.0,8.0,1.38,1.64,0.72,SimpleGAT
0.001,32.0,16.0,1.3,1.57,0.64,SimpleGAT
0.001,32.0,32.0,1.37,1.66,0.62,SimpleGAT
0.001,64.0,4.0,1.2,1.43,0.78,SimpleGAT
0.001,64.0,8.0,1.24,1.47,0.73,SimpleGAT
0.001,64.0,16.0,1.38,1.63,0.72,SimpleGAT
0.001,64.0,32.0,1.43,1.72,0.65,SimpleGAT
0.001,128.0,4.0,0.99,1.21,0.79,SimpleGAT
0.001,128.0,8.0,1.12,1.33,0.77,SimpleGAT
0.001,128.0,16.0,1.21,1.44,0.72,SimpleGAT
0.001,128.0,32.0,1.23,1.47,0.71,SimpleGAT
0.01,16.0,4.0,1.22,1.55,0.61,SimpleGIN
0.01,16.0,8.0,0.93,1.19,0.79,SimpleGIN
0.01,16.0,16.0,1.17,1.43,0.7,SimpleGIN
0.01,16.0,32.0,1.05,1.35,0.75,SimpleGIN
0.01,32.0,4.0,1.25,1.5,0.78,SimpleGIN
0.01,32.0,8.0,1.58,1.88,0.77,SimpleGIN
0.01,32.0,16.0,0.98,1.23,0.78,SimpleGIN
0.01,32.0,32.0,0.96,1.23,0.79,SimpleGIN
0.01,64.0,4.0,0.93,1.18,0.79,SimpleGIN
0.01,64.0,8.0,1.12,1.4,0.78,SimpleGIN
0.01,64.0,16.0,1.23,1.51,0.76,SimpleGIN
0.01,64.0,32.0,0.99,1.21,0.8,SimpleGIN
0.01,128.0,4.0,0.99,1.25,0.77,SimpleGIN
0.01,128.0,8.0,0.98,1.26,0.79,SimpleGIN
0.01,128.0,16.0,1.02,1.27,0.79,SimpleGIN
0.01,128.0,32.0,1.11,1.39,0.76,SimpleGIN
0.005,16.0,4.0,0.88,1.13,0.81,SimpleGIN
0.005,16.0,8.0,1.03,1.32,0.76,SimpleGIN
0.005,16.0,16.0,1.06,1.35,0.73,SimpleGIN
0.005,16.0,32.0,1.02,1.27,0.76,SimpleGIN
0.005,32.0,4.0,0.95,1.18,0.8,SimpleGIN
0.005,32.0,8.0,0.99,1.27,0.77,SimpleGIN
0.005,32.0,16.0,0.94,1.19,0.79,SimpleGIN
0.005,32.0,32.0,0.98,1.26,0.77,SimpleGIN
0.005,64.0,4.0,0.95,1.22,0.79,SimpleGIN
0.005,64.0,8.0,0.96,1.24,0.78,SimpleGIN
0.005,64.0,16.0,0.98,1.26,0.79,SimpleGIN
0.005,64.0,32.0,0.98,1.26,0.79,SimpleGIN
0.005,128.0,4.0,0.92,1.16,0.8,SimpleGIN
0.005,128.0,8.0,0.92,1.16,0.81,SimpleGIN
0.005,128.0,16.0,0.95,1.18,0.79,SimpleGIN
0.005,128.0,32.0,1.02,1.29,0.76,SimpleGIN
0.001,16.0,4.0,1.09,1.37,0.72,SimpleGIN
0.001,16.0,8.0,1.18,1.46,0.7,SimpleGIN
0.001,16.0,16.0,1.25,1.55,0.6,SimpleGIN
0.001,16.0,32.0,1.25,1.56,0.6,SimpleGIN
0.001,32.0,4.0,1.09,1.4,0.78,SimpleGIN
0.001,32.0,8.0,1.11,1.42,0.69,SimpleGIN
0.001,32.0,16.0,1.19,1.48,0.64,SimpleGIN
0.001,32.0,32.0,1.33,1.66,0.55,SimpleGIN
0.001,64.0,4.0,1.14,1.4,0.77,SimpleGIN
0.001,64.0,8.0,0.96,1.24,0.78,SimpleGIN
0.001,64.0,16.0,1.11,1.38,0.7,SimpleGIN
0.001,64.0,32.0,1.14,1.42,0.69,SimpleGIN
0.001,128.0,4.0,0.91,1.14,0.81,SimpleGIN
0.001,128.0,8.0,0.96,1.23,0.78,SimpleGIN
0.001,128.0,16.0,1.12,1.47,0.74,SimpleGIN
0.001,128.0,32.0,1.06,1.39,0.72,SimpleGIN
0.01,16.0,4.0,1.21,1.53,0.79,SimpleGraphSAGE
0.01,16.0,8.0,1.04,1.32,0.75,SimpleGraphSAGE
0.01,16.0,16.0,1.07,1.35,0.73,SimpleGraphSAGE
0.01,16.0,32.0,1.05,1.31,0.73,SimpleGraphSAGE
0.01,32.0,4.0,1.02,1.27,0.75,SimpleGraphSAGE
0.01,32.0,8.0,1.04,1.34,0.77,SimpleGraphSAGE
0.01,32.0,16.0,1.0,1.23,0.78,SimpleGraphSAGE
0.01,32.0,32.0,0.95,1.2,0.79,SimpleGraphSAGE
0.01,64.0,4.0,1.15,1.49,0.74,SimpleGraphSAGE
0.01,64.0,8.0,0.96,1.25,0.78,SimpleGraphSAGE
0.01,64.0,16.0,1.0,1.25,0.77,SimpleGraphSAGE
0.01,64.0,32.0,1.07,1.4,0.79,SimpleGraphSAGE
0.01,128.0,4.0,1.08,1.31,0.76,SimpleGraphSAGE
0.01,128.0,8.0,1.04,1.31,0.74,SimpleGraphSAGE
0.01,128.0,16.0,0.93,1.18,0.79,SimpleGraphSAGE
0.01,128.0,32.0,0.99,1.22,0.8,SimpleGraphSAGE
0.005,16.0,4.0,0.97,1.22,0.78,SimpleGraphSAGE
0.005,16.0,8.0,1.18,1.43,0.77,SimpleGraphSAGE
0.005,16.0,16.0,1.12,1.48,0.7,SimpleGraphSAGE
0.005,16.0,32.0,1.43,1.83,0.4,SimpleGraphSAGE
0.005,32.0,4.0,0.99,1.27,0.8,SimpleGraphSAGE
0.005,32.0,8.0,1.01,1.3,0.75,SimpleGraphSAGE
0.005,32.0,16.0,1.0,1.22,0.79,SimpleGraphSAGE
0.005,32.0,32.0,1.04,1.36,0.71,SimpleGraphSAGE
0.005,64.0,4.0,0.96,1.18,0.8,SimpleGraphSAGE
0.005,64.0,8.0,0.91,1.17,0.81,SimpleGraphSAGE
0.005,64.0,16.0,0.91,1.15,0.8,SimpleGraphSAGE
0.005,64.0,32.0,1.11,1.44,0.78,SimpleGraphSAGE
0.005,128.0,4.0,0.92,1.18,0.8,SimpleGraphSAGE
0.005,128.0,8.0,0.91,1.12,0.81,SimpleGraphSAGE
0.005,128.0,16.0,1.34,1.69,0.8,SimpleGraphSAGE
0.005,128.0,32.0,1.1,1.38,0.76,SimpleGraphSAGE
0.001,16.0,4.0,1.21,1.51,0.63,SimpleGraphSAGE
0.001,16.0,8.0,1.4,1.77,0.42,SimpleGraphSAGE
0.001,16.0,16.0,1.4,1.72,0.47,SimpleGraphSAGE
0.001,16.0,32.0,1.38,1.73,0.47,SimpleGraphSAGE
0.001,32.0,4.0,1.12,1.39,0.7,SimpleGraphSAGE
0.001,32.0,8.0,1.24,1.52,0.62,SimpleGraphSAGE
0.001,32.0,16.0,1.26,1.56,0.59,SimpleGraphSAGE
0.001,32.0,32.0,1.33,1.65,0.53,SimpleGraphSAGE
0.001,64.0,4.0,0.94,1.19,0.79,SimpleGraphSAGE
0.001,64.0,8.0,1.09,1.4,0.7,SimpleGraphSAGE
0.001,64.0,16.0,1.14,1.47,0.67,SimpleGraphSAGE
0.001,64.0,32.0,1.24,1.52,0.62,SimpleGraphSAGE
0.001,128.0,4.0,0.93,1.19,0.81,SimpleGraphSAGE
0.001,128.0,8.0,0.98,1.22,0.78,SimpleGraphSAGE
0.001,128.0,16.0,1.36,1.62,0.75,SimpleGraphSAGE
0.001,128.0,32.0,1.24,1.52,0.62,SimpleGraphSAGE
